,Office,Dept,Year
0,秘書課,Admin,7
1,文書課,Admin,7
2,監査課,Admin,7
3,統計課,Admin,7
4,商工課,Admin,7
5,中央卸売市場,Admin,7
6,都市計画課,Admin,7
7,会計課,Admin,7
8,庶務課,臨時市域拡張部（S6.8.24）,7
9,調査課,臨時市域拡張部（S6.8.24）,7
10,主計課,財務局,7
11,収納課,財務局,7
12,経理課,財務局,7
13,地理課,財務局,7
14,学務課,教育局,7
15,社会教育課,教育局,7
16,視学課,教育局,7
17,保護課,社会局,7
18,福利課,社会局,7
19,職業課,社会局,7
20,衛生課,保健局,7
21,清掃課,保健局,7
22,公園課,保健局,7
23,庶務課,水道局,7
24,給水課,水道局,7
25,浄水課,水道局,7
26,拡張課,水道局,7
27,庶務課,土木局,7
28,道路課,土木局,7
29,橋梁課,土木局,7
30,河港課,土木局,7
31,下水課,土木局,7
32,建築課,土木局,7
33,局長室,電気局,7
34,庶務課,電気局,7
35,労働課,電気局,7
36,経理課,電気局,7
37,会計課,電気局,7
38,運輸課（S7.1.21）,電気局,7
39,乗客課（S7.1.21）,電気局,7
40,車輌課（S7.1.21）,電気局,7
41,電灯課,電気局,7
42,電力課,電気局,7
43,工務課,電気局,7
44,工場,電気局,7
