,Office,Dept,Year
0,秘書課,Admin,18
1,文書課,市長室（S17.9.3）,18
2,人事課,市長室（S17.9.3）,18
3,吏務課,市長室（S17.9.3）,18
4,議案課,市長室（S17.9.3）,18
5,区政課,市長室（S17.9.3）,18
6,報道課,市長室（S17.9.3）,18
7,統計課,市長室（S17.9.3）,18
8,企画課,経理局（S17.9.3）,18
9,都市計画課,経理局（S17.9.3）,18
10,予算課,経理局（S17.9.3）,18
11,考査課,戦時生活局（S17.9.3）,18
12,検査課,戦時生活局（S17.9.3）,18
13,会計課,中央卸売市場（S17.9.3）,18
14,収納課,中央卸売市場（S17.9.3）,18
15,用品課,中央卸売市場（S17.9.3）,18
16,購買課,中央卸売市場（S17.9.3）,18
17,地理課,中央卸売市場（S17.9.3）,18
18,管理課,健民局（S17.9.3）,18
19,営繕課,健民局（S17.9.3）,18
20,学校営繕課,健民局（S17.9.3）,18
21,装置課,健民局（S17.9.3）,18
22,防衛営繕課（S18.5.1）,健民局（S17.9.3）,18
23,庶務課,教育局（S17.9.3）,18
24,町会課,教育局（S17.9.3）,18
25,動員課,教育局（S17.9.3）,18
26,貯蓄奨励課,教育局（S17.9.3）,18
27,商工課,教育局（S17.9.3）,18
28,農漁課,教育局（S17.9.3）,18
29,戦時農場課（S18.5.1）,教育局（S17.9.3）,18
30,第一課（S17.11.24）,防衛局（S17.9.3）,18
31,第二課（S17.11.24）,防衛局（S17.9.3）,18
32,第三課（S17.11.24）,防衛局（S17.9.3）,18
33,物価課,防衛局（S17.9.3）,18
34,水産品課(S18.2.16),土木局（S17.9.3）,18
35,農産品課(S18.2.16),土木局（S17.9.3）,18
36,副収入役,土木局（S17.9.3）,18
37,庶務課,港湾局（S17.9.3）,18
38,軍事援護課,港湾局（S17.9.3）,18
39,母子課,港湾局（S17.9.3）,18
40,体力課,港湾局（S17.9.3）,18
41,衛生課,港湾局（S17.9.3）,18
42,防疫課,港湾局（S17.9.3）,18
43,厚生課,港湾局（S17.9.3）,18
44,皆働課（S18.5.1）,港湾局（S17.9.3）,18
45,管理課,水道局（S17.9.3）,18
46,技術課,水道局（S17.9.3）,18
47,庶務課,電気局（S17.9.3）,18
48,学校職員課,電気局（S17.9.3）,18
49,学校施設課,電気局（S17.9.3）,18
50,初等教育課,電気局（S17.9.3）,18
51,中等教育課,電気局（S17.9.3）,18
52,教化課,電気局（S17.9.3）,18
53,学校体育課,電気局（S17.9.3）,18
54,庶務課,電気研究所,18
55,計画課,電気研究所,18
56,防務課（S18.1.8）,電気研究所,18
57,用材課（S18.1.8）,電気研究所,18
58,資材課（S18.1.8）,電気研究所,18
59,施設課（S18.1.8）,電気研究所,18
60,防火改修課,電気研究所,18
61,庶務課,清掃部（S17.9.3）,18
62,道路管理課,清掃部（S17.9.3）,18
63,道路建設課,清掃部（S17.9.3）,18
64,治水課,清掃部（S17.9.3）,18
65,防衛工事課,清掃部（S17.9.3）,18
