,Office,Dept,Year
0,秘書課,Admin,17
1,文書課,総務局,17
2,議案課,総務局,17
3,企画課,総務局,17
4,都市計画課,総務局,17
5,情報課,総務局,17
6,職員課（S17.5.14）,財務局,17
7,吏務課（S17.5.14）,財務局,17
8,市務監察課,市民局,17
9,区務監察課,市民局,17
10,会計課,動員局（S17.5.14）,17
11,主計課,動員局（S17.5.14）,17
12,主税課,動員局（S17.5.14）,17
13,公債課,動員局（S17.5.14）,17
14,用品課,動員局（S17.5.14）,17
15,購買課,動員局（S17.5.14）,17
16,地理課,動員局（S17.5.14）,17
17,管理課,防衛局,17
18,営繕課,防衛局,17
19,学校営繕課,防衛局,17
20,庶務課,教育局,17
21,区政課,教育局,17
22,町会課,教育局,17
23,統計課（S17.5.14）,教育局,17
24,公園課,人口局（S17.5.14）,17
25,霊園課,人口局（S17.5.14）,17
26,技術課,人口局（S17.5.14）,17
27,庶務課,生活局（S17.5.14）,17
28,動員課,生活局（S17.5.14）,17
29,貯蓄奨励課,生活局（S17.5.14）,17
30,生活指導課,生活局（S17.5.14）,17
31,団体課,生活局（S17.5.14）,17
32,庶務課,養育院,17
33,計画課,養育院,17
34,防衛課,養育院,17
35,施設第一課（S17.5.14）,養育院,17
36,施設第二課（S17.5.14）,養育院,17
37,資材課（S17.5.14）,養育院,17
38,防火改修課,養育院,17
39,庶務課,経済局,17
40,学校職員課,経済局,17
41,学校施設課（S17.5.14）,経済局,17
42,初等教育課（S17.5.14）,経済局,17
43,中等教育課（S17.5.14）,経済局,17
44,社会教育課,経済局,17
45,学校体育課,経済局,17
46,教育研究所,経済局,17
47,庶務課,土木局,17
48,母子課,土木局,17
49,体力課,土木局,17
50,衛生課,土木局,17
51,防疫課,土木局,17
52,庶務課,港湾局,17
53,厚生課,港湾局,17
54,補導課,港湾局,17
55,軍事援護課,港湾局,17
56,監理課,水道局,17
57,作業課（S17.5.14）,水道局,17
58,計画課（S17.5.14）,水道局,17
59,庶務課,小河内貯水池建設局（S17.5.14）,17
60,監護課,小河内貯水池建設局（S17.5.14）,17
61,医務課,小河内貯水池建設局（S17.5.14）,17
62,会計課,小河内貯水池建設局（S17.5.14）,17
63,石神井学園(S17.3.24),小河内貯水池建設局（S17.5.14）,17
64,安房臨海学園(S17.3.24),小河内貯水池建設局（S17.5.14）,17
65,萩山実務学校,小河内貯水池建設局（S17.5.14）,17
66,庶務課,利根川水道建設局（S17.5.14）,17
67,商工課,利根川水道建設局（S17.5.14）,17
68,金融課,利根川水道建設局（S17.5.14）,17
69,農漁課,利根川水道建設局（S17.5.14）,17
