,Office,Dept,Year,Page
0,秘書課,Admin,11,2
1,職員課,Admin,11,2
2,文書課,Admin,11,4

3,庶務課,企画局,11,6
4,企画課,企画局,11,7
5,財務課,企画局,11,8
6,統計課,企画局,11,9
7,都市計画課,企画局,11,20

8,会計課,経理局,11,24
9,公債課,経理局,11,26
10,主税課（S11.7.6）,経理局,11,27
11,徴収課（S11.7.6）,経理局,11,34
12,用度課,経理局,11,39
13,地理課,経理局,11,43

15,庶務課,産業局,11,NA
16,商工課,産業局,11,NA
17,貿易課,産業局,11,NA
18,出張課,産業局,11,NA
18,農漁課,産業局,11,NA
18,灌度課,産業局,11,NA

19,庶務課,教育局,11,NA
20,学務課,教育局,11,NA
21,社会教育課,教育局,11,NA
22,体育課,教育局,11,NA
23,視学課,教育局,11,NA

24,庶務課,社会局,11,NA
25,保護課,社会局,11,NA
26,福利課,社会局,11,NA
27,職業課,社会局,11,NA
28,庶務課,保健局,11,NA
29,衛生課,保健局,11,NA
30,清掃課,保健局,11,NA
31,公園課,保健局,11,NA
32,庶務課,水道局,11,NA
33,会計課,水道局,11,NA
34,業務課,水道局,11,NA
35,給水課,水道局,11,NA
36,拡張課,水道局,11,NA
37,下水課（S11.4.1）,水道局,11,NA
38,庶務課,土木局,11,NA
39,工事課,土木局,11,NA
40,庶務課,電気局,11,NA
41,道路管理課,電気局,11,NA
42,道路建設課,電気局,11,NA
43,河川課,電気局,11,NA
44,建築課,電気局,11,NA
45,　人事掛,港湾部,11,NA
46,庶務課,港湾部,11,NA
47,労働課,港湾部,11,NA
48,会計課,港湾部,11,NA
49,電車課,港湾部,11,NA
50,自動車課,港湾部,11,NA
51,電灯課,港湾部,11,NA
52,電力課,港湾部,11,NA
53,工務課,港湾部,11,NA
54,庶務課,中央卸売市場,11,NA
55,技術課,中央卸売市場,11,NA
56,地所課（S11.7.6）,中央卸売市場,11,NA
57,港務所,中央卸売市場,11,NA
58,監理課,養育院,11,NA
59,企画課,養育院,11,NA
60,院長室,電気研究所,11,NA
61,監護課,電気研究所,11,NA
62,医務課,電気研究所,11,NA
63,会計課,電気研究所,11,NA
64,巣鴨分院,電気研究所,11,NA
65,安房分院,電気研究所,11,NA
66,井之頭学校,電気研究所,11,NA
