,Office,Dept,Year,Page
0,秘書課,Admin,9,2
1,職員課,Admin,9,2
2,文書課,Admin,9,3

3,庶務課,監査局,9,5
4,監察課,監査局,9,5
5,区政課,監査局,9,6
6,統計課,監査局,9,7
7,都市計画課,監査局,9,9

8,主計課,財務局,9,11
9,公債課（S9.2.8）,財務局,9,12
10,収納課,財務局,9,13
11,経理課,財務局,9,17
12,地理課,財務局,9,19
13,会計課,財務局,9,21

14,庶務課,産業局,9,21
15,商工課,産業局,9,22
16,農魚課,産業局,9,23
17,権度課,産業局,9,25

20,庶務課,教育局,9,25
21,学務課,教育局,9,26
22,社会教育課,教育局,9,27
23,体育課,教育局,9,30
24,視学課,教育局,9,33

25,庶務課,社会局,9,36
26,保護課,社会局,9,37
27,福利課,社会局,9,43
28,職業課,社会局,9,46

29,庶務課,保健局,9,50
30,衛生課,保健局,9,51
31,清掃課,保健局,9,54
32,公園課,保健局,9,62

33,庶務課,水道局,9,64
33,会計課,水道局,9,66
34,業務課,水道局,9,72
35,給水課,水道局,9,74
36,拡張課,水道局,9,77

37,庶務課,土木局,9,77
38,道路管理課,土木局,9,79
39,道路建設課,土木局,9,81
40,河川課,土木局,9,81
41,下水課,土木局,9,84
42,建築課,土木局,9,90

43,局長室,電気局(S8.11.6),9,103
44,庶務課,電気局(S8.11.6),9,104
45,労働課,電気局(S8.11.6),9,105
46,会計課,電気局(S8.11.6),9,106
47,電車課,電気局(S8.11.6),9,108
48,自動車課,電気局(S8.11.6),9,116
49,電灯課,電気局(S8.11.6),9,118
50,電力課,電気局(S8.11.6),9,121
51,工務課,電気局(S8.11.6),9,124
51,病院,電気局(S8.11.6),9,127

55,庶務課,港湾部（S8.11.1）,9,129
56,技術課,港湾部（S8.11.1）,9,130
57,港務所,港湾部（S8.11.1）,9,131

18,庶務課,中央卸売市場,9,134
19,企画課,中央卸売市場,9,135

52,庶務課,電気研究所（S8.11.18）,9,140
53,試験課,電気研究所（S8.11.18）,9,140
54,研究課,電気研究所（S8.11.18）,9,141



