,Office,Dept,Year
0,秘書課,Admin,5
1,文書課,Admin,5
2,監査課,Admin,5
3,統計課,Admin,5
4,商工課,Admin,5
5,都市計画課（S5.3.31）,Admin,5
6,区画整理課（S5.3.31）,Admin,5
7,会計課,Admin,5
8,主計課,財務局,5
9,収納課,財務局,5
10,経理課,財務局,5
11,地理課,財務局,5
12,学務課,教育局,5
13,社会教育課,教育局,5
14,視学課,教育局,5
15,保護課,社会局,5
16,福利課（S5.4.2）,社会局,5
17,職業課,社会局,5
18,衛生課,保健局,5
19,清掃課,保健局,5
20,公園課,保健局,5
21,庶務課,水道局,5
22,給水課,水道局,5
23,浄水課,水道局,5
24,拡張課,水道局,5
25,庶務課,土木局,5
26,道路課,土木局,5
27,橋梁課,土木局,5
28,河港課,土木局,5
29,下水課,土木局,5
30,建築課,土木局,5
31,庶務課,電気局,5
32,労働課,電気局,5
33,会計課,電気局,5
34,電車課（S5.4.5）,電気局,5
35,自動車課,電気局,5
36,電灯課,電気局,5
37,電力課,電気局,5
38,工務課,電気局,5
39,工場,電気局,5
