,Office,Dept,Year
0,秘書課,Admin,6
1,文書課,Admin,6
2,監査課,Admin,6
3,統計課,Admin,6
4,商工課,Admin,6
5,中央卸売市場（S6.7.2）,Admin,6
6,都市計画課,Admin,6
7,会計課,Admin,6
8,主計課,財務局,6
9,収納課,財務局,6
10,経理課,財務局,6
11,地理課,財務局,6
12,学務課,教育局,6
13,社会教育課,教育局,6
14,視学課,教育局,6
15,保護課,社会局,6
16,福利課,社会局,6
17,職業課,社会局,6
18,衛生課,保健局,6
19,清掃課,保健局,6
20,公園課,保健局,6
21,庶務課,水道局,6
22,給水課,水道局,6
23,浄水課,水道局,6
24,拡張課,水道局,6
25,庶務課,土木局,6
26,道路課,土木局,6
27,橋梁課,土木局,6
28,河港課,土木局,6
29,下水課,土木局,6
30,建築課,土木局,6
31,局長室(S6.6.22),電気局,6
32,庶務課,電気局,6
33,労働課,電気局,6
34,経理課（S6.2.24）,電気局,6
35,会計課,電気局,6
36,電車課,電気局,6
37,自動車課,電気局,6
38,電灯課,電気局,6
39,電力課,電気局,6
40,工務課,電気局,6
41,工場,電気局,6
