,Office,Dept,Year
0,秘書課,Admin,8
1,文書課,Admin,8
2,会計課,Admin,8
3,勧業課,中央卸売市場,8
4,市場課,中央卸売市場,8
5,庶務課（S7.10.1）,監査局（S8.7.7）,8
6,企画課（S7.10.1）,監査局（S8.7.7）,8
7,監察課,財務局,8
8,区政課,財務局,8
9,統計課,財務局,8
10,都市計画課,財務局,8
11,主計課,教育局,8
12,収納課,教育局,8
13,経理課,教育局,8
14,地理課,教育局,8
15,学務課,社会局,8
16,社会教育課,社会局,8
17,視学課,社会局,8
18,保護課,保健局,8
19,福利課,保健局,8
20,職業課,保健局,8
21,衛生課,水道局,8
22,清掃課,水道局,8
23,公園課,水道局,8
24,庶務課,土木局,8
25,業務課（S7.10.1）,土木局,8
26,給水課,土木局,8
27,拡張課,土木局,8
28,庶務課,電気局,8
29,道路管理課（S7.10.1）,電気局,8
30,道路建設課（S7.10.1）,電気局,8
31,橋梁課,電気局,8
32,河港課,電気局,8
33,下水課,電気局,8
34,建築課,電気局,8
35,局長室,電気研究所,8
36,庶務課,電気研究所,8
37,労働課,電気研究所,8
38,経理課,電気研究所,8
39,会計課,電気研究所,8
40,運輸課,電気研究所,8
41,乗客課,電気研究所,8
42,車輌課,電気研究所,8
43,電灯課,電気研究所,8
44,配線課（S8.5.27）,電気研究所,8
45,電力課,電気研究所,8
46,工務課,電気研究所,8
