,Office,Dept,Year
0,秘書課,Admin,15
1,文書課,総務局,15
2,人事課,総務局,15
3,吏務課,総務局,15
4,議案課,総務局,15
5,企画課,総務局,15
6,都市計画課,総務局,15
7,統計課,総務局,15
8,情報課（S14.12.12）,総務局,15
9,市務監察課,財務局,15
10,区務監察課,財務局,15
11,会計課,市民局,15
12,主計課,市民局,15
13,主税課,市民局,15
14,公債課,市民局,15
15,資源調査課（S14.12.12）,市民局,15
16,購買課,市民局,15
17,用品課,市民局,15
18,地理課,市民局,15
19,第一工営課,教育局,15
20,第二工営課,教育局,15
21,庶務課,厚生局,15
22,区町課,厚生局,15
23,社会教育課,厚生局,15
24,体力課,厚生局,15
25,公園課,厚生局,15
26,防衛課,厚生局,15
27,観光課,厚生局,15
28,計画課,経済局,15
29,事業課,経済局,15
30,庶務課,土木局,15
31,学校職員課,土木局,15
32,学務課,土木局,15
33,視学課,土木局,15
34,青年教育課,土木局,15
35,社会教育課,土木局,15
36,学校体育課,土木局,15
37,教育研究所,土木局,15
38,庶務課,港湾局（S14.12.12）,15
39,軍事援護課,港湾局（S14.12.12）,15
40,児童課,港湾局（S14.12.12）,15
41,保護課,港湾局（S14.12.12）,15
42,福利課,港湾局（S14.12.12）,15
43,衛生課,港湾局（S14.12.12）,15
44,防疫課,港湾局（S14.12.12）,15
45,監理課,水道局,15
46,第一作業課（S15.5.13）,水道局,15
47,第二作業課（S15.5.13）,水道局,15
48,庶務課,電気局,15
49,監護課,電気局,15
50,医務課,電気局,15
51,会計課,電気局,15
52,巣鴨分院,電気局,15
53,安房分院,電気局,15
54,萩山実務学校,電気局,15
55,庶務課,選挙粛正部,15
56,商工課,選挙粛正部,15
57,消費経済課（S14.12.12）,選挙粛正部,15
58,貿易課,選挙粛正部,15
59,金融課,選挙粛正部,15
60,農漁課,選挙粛正部,15
61,権度課,選挙粛正部,15
