,Office,Dept,Year
0,秘書課,Admin,10
1,職員課,Admin,10
2,文書課,Admin,10
3,庶務課,監査局,10
4,監察課,監査局,10
5,区政課,監査局,10
6,統計課,監査局,10
7,都市計画課,監査局,10
8,主計課,財務局,10
9,公債課,財務局,10
10,収納課,財務局,10
11,経理課,財務局,10
12,地理課,財務局,10
13,会計課,財務局,10
14,庶務課,産業局,10
15,商工課,産業局,10
16,農魚課,産業局,10
17,権度課,産業局,10
18,庶務課,教育局,10
19,学務課,教育局,10
20,社会教育課,教育局,10
21,体育課,教育局,10
22,視学課,教育局,10
23,庶務課,社会局,10
24,保護課,社会局,10
25,福利課,社会局,10
26,職業課,社会局,10
27,庶務課,保健局,10
28,衛生課,保健局,10
29,清掃課,保健局,10
30,公園課,保健局,10
31,庶務課,水道局,10
32,会計課（S9.7.17）,水道局,10
33,業務課,水道局,10
34,給水課,水道局,10
35,拡張課,水道局,10
36,庶務課,土木局,10
37,道路管理課,土木局,10
38,道路建設課,土木局,10
39,河川課,土木局,10
40,下水課,土木局,10
41,建築課,土木局,10
42,　人事掛,電気局,10
43,庶務課,電気局,10
44,労働課,電気局,10
45,会計課,電気局,10
46,自動車課,電気局,10
47,電灯課,電気局,10
48,電力課,電気局,10
49,工務課,電気局,10
50,庶務課,港湾部,10
51,技術課,港湾部,10
52,港務所,港湾部,10
53,監理課（S10.2.12）,中央卸売市場,10
54,企画課,中央卸売市場,10
55,院長室,養育院,10
56,監護課,養育院,10
57,医務課,養育院,10
58,会計課,養育院,10
59,巣鴨分院,養育院,10
60,安房分院,養育院,10
61,井之頭学校,養育院,10
