,Office,Dept,Year
0,秘書課,Admin,4
1,文書課,Admin,4
2,監査課,Admin,4
3,統計課,Admin,4
4,商工課,Admin,4
5,会計課,Admin,4
6,主計課,財務局,4
7,収納課,財務局,4
8,経理課,財務局,4
9,地理課,財務局,4
10,学務課,教育局,4
11,社会教育課,教育局,4
12,視学課,教育局,4
13,保護課,社会局,4
14,公営課,社会局,4
15,職業課,社会局,4
16,衛生課,保健局,4
17,清掃課,保健局,4
18,公園課,保健局,4
19,庶務課,水道局,4
20,給水課,水道局,4
21,浄水課,水道局,4
22,拡張課,水道局,4
23,庶務課,土木局,4
24,道路課,土木局,4
25,橋梁課,土木局,4
26,河港課,土木局,4
27,下水課,土木局,4
28,建築課,土木局,4
29,庶務課,復興事業局,4
30,施業課,復興事業局,4
31,工事課,復興事業局,4
32,庶務課,電気局,4
33,労働課,電気局,4
34,経理課,電気局,4
35,会計課,電気局,4
36,運輸課,電気局,4
37,自動車課,電気局,4
38,電灯課,電気局,4
39,電力課,電気局,4
40,工務課,電気局,4
41,車輌課,電気局,4
42,工場,電気局,4
43,高速鉄道調査課,電気局,4
