,Office,Dept,Year
0,秘書課,Admin,3
1,文書課,Admin,3
2,監査課,Admin,3
3,統計課,Admin,3
4,商工課,Admin,3
5,会計課,Admin,3
6,主計課,財務局（S3.4.1）,3
7,収納課,財務局（S3.4.1）,3
8,経理課,財務局（S3.4.1）,3
9,地理課,財務局（S3.4.1）,3
10,学務課,教育局,3
11,社会教育課,教育局,3
12,視学課,教育局,3
13,保護課,社会局,3
14,公営課,社会局,3
15,職業課,社会局,3
16,衛生課,保健局,3
17,清掃課,保健局,3
18,公園課,保健局,3
19,庶務課,水道局,3
20,給水課,水道局,3
21,浄水課,水道局,3
22,拡張課（S3.7.6）,水道局,3
23,庶務課,土木局,3
24,道路課,土木局,3
25,橋梁課,土木局,3
26,河港課,土木局,3
27,下水課,土木局,3
28,建築課,土木局,3
29,庶務課,復興事業局,3
30,施業課,復興事業局,3
31,工事課,復興事業局,3
32,庶務課,電気局,3
33,労働課（S2.12.9）,電気局,3
34,経理課,電気局,3
35,会計課,電気局,3
36,運輸課,電気局,3
37,自動車課,電気局,3
38,電灯課,電気局,3
39,電力課,電気局,3
40,工務課,電気局,3
41,車輌課,電気局,3
42,工場,電気局,3
43,高速鉄道調査課,電気局,3
