,Office,Dept,Year
0,秘書課,Admin,16
1,文書課,総務局,16
2,人事課,総務局,16
3,吏務課,総務局,16
4,議案課,総務局,16
5,企画課,総務局,16
6,都市計画課,総務局,16
7,統計課,総務局,16
8,情報課,総務局,16
9,市務監察課,財務局,16
10,区務監察課,財務局,16
11,会計課,市民局,16
12,主計課,市民局,16
13,主税課,市民局,16
14,公債課,市民局,16
15,用品課（S15.8.17）,市民局,16
16,購買課（S15.8.17）,市民局,16
17,地理課,市民局,16
18,管理課,選挙粛正部,16
19,営繕課,選挙粛正部,16
20,学校営繕課,選挙粛正部,16
21,庶務課,防衛局（S16.5.1）,16
22,区政課（S15.8.17）,防衛局（S16.5.1）,16
23,町会課（S15.8.17）,防衛局（S16.5.1）,16
24,体力課,防衛局（S16.5.1）,16
25,公園課,防衛局（S16.5.1）,16
26,第一課,教育局,16
27,第二課,教育局,16
28,庶務課,厚生局,16
29,計画課,厚生局,16
30,防衛課,厚生局,16
31,施設課,厚生局,16
32,防火改修課,厚生局,16
33,庶務課,経済局,16
34,学校職員課,経済局,16
35,学務課,経済局,16
36,視学課,経済局,16
37,青年教育課,経済局,16
38,社会教育課（S15.8.17）,経済局,16
39,学校体育課,経済局,16
40,教育研究所,経済局,16
41,庶務課,土木局,16
42,軍事援護課,土木局,16
43,児童課,土木局,16
44,保護課,土木局,16
45,福利課,土木局,16
46,衛生課,土木局,16
47,防疫課,土木局,16
48,監理課,港湾局,16
49,第一作業課,港湾局,16
50,第二作業課,港湾局,16
51,庶務課,水道局,16
52,監護課,水道局,16
53,医務課,水道局,16
54,会計課,水道局,16
55,巣鴨分院,水道局,16
56,安房分院,水道局,16
57,萩山実務学校,水道局,16
