,Office,Dept,Year
0,秘書課,Admin,14
1,文書課,総務局（S14.6.20）,14
2,人事課,総務局（S14.6.20）,14
3,吏務課,総務局（S14.6.20）,14
4,議案課,総務局（S14.6.20）,14
5,企画課,総務局（S14.6.20）,14
6,都市計画課,総務局（S14.6.20）,14
7,統計課,総務局（S14.6.20）,14
8,市務監察課,財務局（S14.6.20）,14
9,区務監察課,財務局（S14.6.20）,14
10,会計課,市民局（S14.6.20）,14
11,主計課,市民局（S14.6.20）,14
12,主税課,市民局（S14.6.20）,14
13,公債課,市民局（S14.6.20）,14
14,購買課,市民局（S14.6.20）,14
15,用品課,市民局（S14.6.20）,14
16,地理課,市民局（S14.6.20）,14
17,第一工営課,教育局,14
18,第二工営課,教育局,14
19,庶務課,厚生局（S14.6.20）,14
20,区町課,厚生局（S14.6.20）,14
21,社会教育課,厚生局（S14.6.20）,14
22,体力課,厚生局（S14.6.20）,14
23,公園課,厚生局（S14.6.20）,14
24,防衛課,厚生局（S14.6.20）,14
25,観光課,厚生局（S14.6.20）,14
26,計画課,経済局（S14.6.20）,14
27,事業課,経済局（S14.6.20）,14
28,庶務課,土木局,14
29,学校職員課（S14.6.20）,土木局,14
30,学務課,土木局,14
31,視学課,土木局,14
32,青年教育課（S14.6.20）,土木局,14
33,学校体育課（S14.6.20）,土木局,14
34,教育研究所（S14.6.20）,土木局,14
35,庶務課,水道局,14
36,軍事援護課,水道局,14
37,児童課,水道局,14
38,保護課,水道局,14
39,福利課,水道局,14
40,衛生課,水道局,14
41,防疫課,水道局,14
42,監理課,電気局,14
43,第一作業課,電気局,14
44,第二作業課,電気局,14
